Year,Exports
1991,28.3512610672578
1992,30.3074635078275
1993,26.7548134217247
1994,26.5114278515733
1995,26.3121650131426
1996,25.8245519820943
1997,27.8592432831317
1998,52.968134566078
1999,35.5141290838601
2000,40.9773084738704
2001,39.0321390955111
2002,32.6876208878375
2003,30.4776547809661
2004,32.2166946182599
2005,34.0672676279992
2006,31.0347163143166
2007,29.4357184851264
2008,29.8082841673732
2009,24.1591196686279
2010,24.2990309366408
2011,26.3273530888836
2012,24.5943787881769
2013,23.9235763793605
2014,23.6659845969367
2015,21.1601792598059
2016,19.0889938536664
2017,20.1773044351106
2018,21.0027464972455
2019,18.5915277970883
2020,17.3311682848923
2021,21.4165556390653
2022,24.5029116862832
2023,21.7538472039177
2024,22.18331286866
