Year,Population_Growth
1991,1.77013689509296
1992,1.7332257161332
1993,1.70158442607601
1994,1.6859518715422
1995,1.66278546327292
1996,1.64546182640737
1997,1.62630782020292
1998,1.58071800042293
1999,1.50317096427875
2000,1.43244007763682
2001,1.38801892806803
2002,1.35572575488289
2003,1.32378197652859
2004,1.27101139474106
2005,1.28380661170743
2006,1.32525502272966
2007,1.32086532413059
2008,1.29735043016571
2009,1.26698625068088
2010,1.26054140134601
2011,1.27668830646548
2012,1.28583816632167
2013,1.24038001568984
2014,1.17536091203837
2015,1.12233981761262
2016,1.0744882002252
2017,1.02232939771064
2018,0.969743409524713
2019,0.935604959235128
2020,0.849801187379341
2021,0.704601321926319
2022,0.746050469653246
2023,0.842666137328498
2024,0.813871513351669
